,start station id,start station name,start station latitude,start station longitude
67,3209,Brunswick St,40.7241765,-74.05065640000001
67,3209,Brunswick St,40.7241765,-74.05065640000001
68,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
68,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
68,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
69,3194,McGinley Square,40.7253399253558,-74.06762212514876
69,3194,McGinley Square,40.7253399253558,-74.06762212514876
69,3194,McGinley Square,40.7253399253558,-74.06762212514876
70,3209,Brunswick St,40.7241765,-74.05065640000001
70,3209,Brunswick St,40.7241765,-74.05065640000001
70,3209,Brunswick St,40.7241765,-74.05065640000001
71,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
71,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
71,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
72,3268,Lafayette Park,40.71346382669195,-74.06285852193831
72,3268,Lafayette Park,40.71346382669195,-74.06285852193831
72,3268,Lafayette Park,40.71346382669195,-74.06285852193831
73,3268,Lafayette Park,40.71346382669195,-74.06285852193831
73,3268,Lafayette Park,40.71346382669195,-74.06285852193831
73,3268,Lafayette Park,40.71346382669195,-74.06285852193831
74,3273,Manila & 1st,40.72165072487999,-74.04288411140442
74,3273,Manila & 1st,40.72165072487999,-74.04288411140442
74,3273,Manila & 1st,40.72165072487999,-74.04288411140442
75,3213,Van Vorst Park,40.71848892,-74.047726625
75,3213,Van Vorst Park,40.71848892,-74.047726625
75,3213,Van Vorst Park,40.71848892,-74.047726625
76,3275,Columbus Drive,40.71835519823214,-74.03891444206238
76,3275,Columbus Drive,40.71835519823214,-74.03891444206238
76,3275,Columbus Drive,40.71835519823214,-74.03891444206238
