,end station id,end station name,end station latitude,end station longitude
12880,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12880,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12880,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12881,3207,Oakland Ave,40.7376037,-74.05247829999999
12881,3207,Oakland Ave,40.7376037,-74.05247829999999
12881,3207,Oakland Ave,40.7376037,-74.05247829999999
12882,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12882,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12882,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12883,3209,Brunswick St,40.7241765,-74.05065640000001
12883,3209,Brunswick St,40.7241765,-74.05065640000001
12883,3209,Brunswick St,40.7241765,-74.05065640000001
12884,3203,Hamilton Park,40.727595965999996,-74.044247311
12884,3203,Hamilton Park,40.727595965999996,-74.044247311
12884,3203,Hamilton Park,40.727595965999996,-74.044247311
12885,3210,Pershing Field,40.742677141,-74.051788633
12885,3210,Pershing Field,40.742677141,-74.051788633
12885,3210,Pershing Field,40.742677141,-74.051788633
12886,3196,Riverview Park,40.7443187,-74.04399090000001
12886,3196,Riverview Park,40.7443187,-74.04399090000001
12886,3196,Riverview Park,40.7443187,-74.04399090000001
12887,3206,Hilltop,40.7311689,-74.0575736
12887,3206,Hilltop,40.7311689,-74.0575736
12887,3206,Hilltop,40.7311689,-74.0575736
12888,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12888,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12888,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12889,3203,Hamilton Park,40.727595965999996,-74.044247311
12889,3203,Hamilton Park,40.727595965999996,-74.044247311
12889,3203,Hamilton Park,40.727595965999996,-74.044247311
12890,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12890,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12890,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12891,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12891,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12891,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12892,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12892,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12892,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12893,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12893,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12893,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12894,3187,Warren St,40.721123600000006,-74.03805095
12894,3187,Warren St,40.721123600000006,-74.03805095
12894,3187,Warren St,40.721123600000006,-74.03805095
12895,3677,Glenwood Ave,40.72755146730012,-74.07106071710588
12895,3677,Glenwood Ave,40.72755146730012,-74.07106071710588
12895,3677,Glenwood Ave,40.72755146730012,-74.07106071710588
12896,3207,Oakland Ave,40.7376037,-74.05247829999999
12896,3207,Oakland Ave,40.7376037,-74.05247829999999
12896,3207,Oakland Ave,40.7376037,-74.05247829999999
12897,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12897,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12897,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12898,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12898,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12898,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12899,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12899,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12899,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12900,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12900,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12900,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12901,3187,Warren St,40.721123600000006,-74.03805095
12901,3187,Warren St,40.721123600000006,-74.03805095
12901,3187,Warren St,40.721123600000006,-74.03805095
12902,3481,York St,40.71649,-74.04105
12902,3481,York St,40.71649,-74.04105
12902,3481,York St,40.71649,-74.04105
12903,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
12903,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
12903,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
12904,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12904,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12904,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12905,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
12905,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
12905,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
12906,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
12906,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
12906,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
12907,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12907,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12907,3273,Manila & 1st,40.72165072487999,-74.04288411140442
12908,3187,Warren St,40.721123600000006,-74.03805095
12908,3187,Warren St,40.721123600000006,-74.03805095
12908,3187,Warren St,40.721123600000006,-74.03805095
12909,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
12909,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
12909,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
12910,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12910,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12910,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12911,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12911,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12911,3192,Liberty Light Rail,40.711242299999995,-74.0557013
12912,3209,Brunswick St,40.7241765,-74.05065640000001
12912,3209,Brunswick St,40.7241765,-74.05065640000001
12912,3209,Brunswick St,40.7241765,-74.05065640000001
12913,3195,Sip Ave,40.73089709786179,-74.06391263008119
12913,3195,Sip Ave,40.73089709786179,-74.06391263008119
12913,3195,Sip Ave,40.73089709786179,-74.06391263008119
12914,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12914,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12914,3276,Marin Light Rail,40.71458403535893,-74.04281705617905
12915,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12915,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12915,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12916,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12916,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12916,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12917,3187,Warren St,40.721123600000006,-74.03805095
12917,3187,Warren St,40.721123600000006,-74.03805095
12917,3187,Warren St,40.721123600000006,-74.03805095
12918,3210,Pershing Field,40.742677141,-74.051788633
12918,3210,Pershing Field,40.742677141,-74.051788633
12918,3210,Pershing Field,40.742677141,-74.051788633
12919,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12919,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12919,3186,Grove St PATH,40.71958611647166,-74.0431174635887
12920,3203,Hamilton Park,40.727595965999996,-74.044247311
12920,3203,Hamilton Park,40.727595965999996,-74.044247311
12920,3203,Hamilton Park,40.727595965999996,-74.044247311
12921,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
12921,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
12921,3199,Newport Pkwy,40.728744799999994,-74.03210820000001
12922,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12922,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12922,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12923,3203,Hamilton Park,40.727595965999996,-74.044247311
12923,3203,Hamilton Park,40.727595965999996,-74.044247311
12923,3203,Hamilton Park,40.727595965999996,-74.044247311
12924,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12924,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12924,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281
12925,3639,Harborside,40.71925170000001,-74.034234
12925,3639,Harborside,40.71925170000001,-74.034234
12925,3639,Harborside,40.71925170000001,-74.034234
12926,3184,Paulus Hook,40.7141454,-74.0335519
12926,3184,Paulus Hook,40.7141454,-74.0335519
12926,3184,Paulus Hook,40.7141454,-74.0335519
12927,3681,Grand St,40.71517767732029,-74.03768330812454
12927,3681,Grand St,40.71517767732029,-74.03768330812454
12927,3681,Grand St,40.71517767732029,-74.03768330812454
12928,3195,Sip Ave,40.73089709786179,-74.06391263008119
12928,3195,Sip Ave,40.73089709786179,-74.06391263008119
12928,3195,Sip Ave,40.73089709786179,-74.06391263008119
12929,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
12929,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
12929,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744
12930,3679,Bergen Ave,40.72210378668603,-74.07145500183104
12930,3679,Bergen Ave,40.72210378668603,-74.07145500183104
12930,3679,Bergen Ave,40.72210378668603,-74.07145500183104
12931,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
12931,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
12931,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029
12932,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12932,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12932,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12933,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12933,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12933,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12934,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12934,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12934,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12935,3209,Brunswick St,40.7241765,-74.05065640000001
12935,3209,Brunswick St,40.7241765,-74.05065640000001
12935,3209,Brunswick St,40.7241765,-74.05065640000001
12936,3275,Columbus Drive,40.71835519823214,-74.03891444206238
12936,3275,Columbus Drive,40.71835519823214,-74.03891444206238
12936,3275,Columbus Drive,40.71835519823214,-74.03891444206238
12937,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12937,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12937,3279,Dixon Mills,40.72163014263835,-74.04996782541275
12938,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12938,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12938,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
12939,3185,City Hall,40.717732500000004,-74.04384499999999
12939,3185,City Hall,40.717732500000004,-74.04384499999999
12939,3185,City Hall,40.717732500000004,-74.04384499999999
12940,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12940,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12940,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734
12941,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12941,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12941,3205,JC Medical Center,40.71653978099194,-74.0496379137039
12942,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12942,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12942,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281
12943,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
12943,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
12943,3678,Fairmount Ave,40.72572613742557,-74.07195925712584
12944,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552
